"Reporting starts","Reporting ends","Ad Set Name",Age,Gender,Impressions,Reach,"Clicks (all)",ThruPlays,"Post engagements"
2025-06-18,2025-06-18,"Video views Ad: L’extraordinaire devient possible au Centre...",35-44,female,1585,1464,56,127,654
2025-06-18,2025-06-18,"Video views Ad: L’extraordinaire devient possible au Centre...",25-34,unknown,6,4,0,,3
2025-06-18,2025-06-18,"Video views Ad: L’extraordinaire devient possible au Centre...",25-34,male,1091,1091,13,74,340
2025-06-18,2025-06-18,"Video views Ad: L’extraordinaire devient possible au Centre...",25-34,female,1146,1116,30,98,422
2025-06-18,2025-06-18,"Video views Ad: L’extraordinaire devient possible au Centre...",18-24,unknown,9,4,0,1,5
2025-06-18,2025-06-18,"Video views Ad: L’extraordinaire devient possible au Centre...",18-24,male,224,196,4,23,79
2025-06-18,2025-06-18,"Video views Ad: L’extraordinaire devient possible au Centre...",18-24,female,329,244,4,21,117
2025-06-17,2025-06-17,"Video views Ad: L’extraordinaire devient possible au Centre...",65+,unknown,22,16,5,2,14
2025-06-17,2025-06-17,"Video views Ad: L’extraordinaire devient possible au Centre...",65+,male,1990,1792,59,190,1255
2025-06-17,2025-06-17,"Video views Ad: L’extraordinaire devient possible au Centre...",65+,female,2611,2464,139,388,1730
2025-06-17,2025-06-17,"Video views Ad: L’extraordinaire devient possible au Centre...",55-64,unknown,14,14,0,2,8
2025-06-17,2025-06-17,"Video views Ad: L’extraordinaire devient possible au Centre...",55-64,male,2211,2128,81,152,1243
2025-06-17,2025-06-17,"Video views Ad: L’extraordinaire devient possible au Centre...",55-64,female,3292,3032,156,348,1968
2025-06-17,2025-06-17,"Video views Ad: L’extraordinaire devient possible au Centre...",45-54,unknown,25,25,1,3,10
2025-06-17,2025-06-17,"Video views Ad: L’extraordinaire devient possible au Centre...",45-54,male,2211,2064,80,139,1029
2025-06-17,2025-06-17,"Video views Ad: L’extraordinaire devient possible au Centre...",45-54,female,2869,2608,167,248,1481
2025-06-17,2025-06-17,"Video views Ad: L’extraordinaire devient possible au Centre...",35-44,unknown,36,36,1,,7
2025-06-17,2025-06-17,"Video views Ad: L’extraordinaire devient possible au Centre...",35-44,male,2896,2672,86,126,1043
2025-06-17,2025-06-17,"Video views Ad: L’extraordinaire devient possible au Centre...",35-44,female,3624,3544,176,264,1470
2025-06-17,2025-06-17,"Video views Ad: L’extraordinaire devient possible au Centre...",25-34,unknown,27,27,1,2,12
2025-06-17,2025-06-17,"Video views Ad: L’extraordinaire devient possible au Centre...",25-34,male,2323,2184,63,108,736
2025-06-17,2025-06-17,"Video views Ad: L’extraordinaire devient possible au Centre...",25-34,female,2678,2600,105,164,934
2025-06-17,2025-06-17,"Video views Ad: L’extraordinaire devient possible au Centre...",18-24,unknown,15,8,0,2,7
2025-06-17,2025-06-17,"Video views Ad: L’extraordinaire devient possible au Centre...",18-24,male,478,456,13,19,127
2025-06-17,2025-06-17,"Video views Ad: L’extraordinaire devient possible au Centre...",18-24,female,655,488,19,45,210
2025-06-16,2025-06-16,"Video views Ad: L’extraordinaire devient possible au Centre...",65+,unknown,20,20,3,4,12
2025-06-16,2025-06-16,"Video views Ad: L’extraordinaire devient possible au Centre...",65+,male,2029,1688,85,234,1305
2025-06-16,2025-06-16,"Video views Ad: L’extraordinaire devient possible au Centre...",65+,female,2626,2456,134,369,1764
2025-06-16,2025-06-16,"Video views Ad: L’extraordinaire devient possible au Centre...",55-64,unknown,16,16,1,,12
2025-06-16,2025-06-16,"Video views Ad: L’extraordinaire devient possible au Centre...",55-64,male,2173,1896,75,186,1231
2025-06-16,2025-06-16,"Video views Ad: L’extraordinaire devient possible au Centre...",55-64,female,3261,3008,158,328,1963
2025-06-16,2025-06-16,"Video views Ad: L’extraordinaire devient possible au Centre...",45-54,unknown,17,17,0,1,6
2025-06-16,2025-06-16,"Video views Ad: L’extraordinaire devient possible au Centre...",45-54,male,2116,2096,62,115,962
2025-06-16,2025-06-16,"Video views Ad: L’extraordinaire devient possible au Centre...",45-54,female,2623,2448,113,230,1359
